"id","title","year","date_published","duration","country","worlwide_gross_income","languages","production_company"
"tt0012494","Der müde Tod","2017","2017-06-09","97","Germany","$ 12156","German","Decla-Bioscop AG"
"tt0038733","A Matter of Life and Death","2017","2017-12-08","104","UK","$ 124241","English, French, Russian","The Archers"
"tt0060908","Le roi de coeur","2018","2018-06-08","102","France, Italy","$ 18130","French, English, German","Fildebroc"
"tt0069049","The Other Side of the Wind","2018","2018-11-02","122","France, Iran, USA","","English, German","Royal Road Entertainment"
"tt0071145","Ankur","2019","2019-01-02","131","India","","Hindi","Blaze Film Enterprises"
"tt0082620","Kiss Daddy Goodbye","2018","2018-11-23","92","USA","","English","Pendragon Film"
"tt0083907","The Evil Dead","2018","2018-10-31","85","USA","$ 2893091","English","Renaissance Pictures"
"tt0085953","Mo tai","2019","2019-10-22","84","Hong Kong","","Cantonese","Lo Wei Motion Picture Company"
"tt0095857","Pestonjee","2019","2019-02-22","125","India","","Hindi","National Film Development Corporation of India (NFDC)"
"tt0097268","Ek Din Achanak","2018","2018-12-30","105","India","","Hindi","National Film Development Corporation"
"tt0100275","La Telenovela Errante","2018","2018-09-06","80","Chile","$ 3624","Spanish","Poetastros"
"tt0116851","Leila","2017","2017-12-06","102","Iran","$ 8231","Persian","Farabi Cinema Foundation"
"tt0137204","Joe Finds Grace","2017","2017-04-22","83","Canada","","English","Bradeway Pictures"
"tt0147855","Aashirwad","2019","2019-03-09","146","India","","Hindi","Film Enterprises"
"tt0192669","Teenage Space Vampires","2018","2018-11-15","90","Romania, Canada, USA","","English","Canarom Productions"
"tt0235166","Against All Hope","2017","2017-10-20","90","USA","","English",""
"tt0278422","Buttleman","2018","2018-01-01","94","USA","","English","Buttleman Productions LLC"
"tt0331314","Bunyan and Babe","2017","2017-01-12","84","USA, India","$ 72060","English","Exodus Film Group"
"tt0337383","Vaikai is Amerikos viesbucio","2017","2017-03-09","88","Soviet Union","","Lithuanian, Russian","Lietuvos Kinostudija"
"tt0339091","Gang of Roses","2019","2019-09-20","94","USA","$ 30497","English","Sleeping Giant Productions"
"tt0339736","The Evil Within","2017","2017-08-30","98","USA","","English","Supernova LLC"
"tt0347307","Kaminnyy khrest","2018","2018-10-30","80","Soviet Union","","Ukrainian","Dovzhenko Film Studios"
"tt0352314","Ek Hasina Thi","2019","2019-01-02","120","India","","Hindi, English","Bohra Bros Productions"
"tt0360556","Fahrenheit 451","2018","2018-05-20","100","USA","","English","HBO Films"
"tt0361953","The Nest of the Cuckoo Birds","2017","2017-10-16","81","USA","","English","Bert Williams Motion Pictures and Distributor"
"tt0365545","Nappily Ever After","2018","2018-09-21","98","USA","","English","Netflix"
"tt0385887","Motherless Brooklyn","2019","2019-11-01","144","USA","$ 9205026","English","Class 5 Films"
"tt0427543","A Million Little Pieces","2019","2019-08-30","113","USA","$ 49710","English","3Blackdot"
"tt0437086","Alita: Battle Angel","2019","2019-02-06","122","USA","$ 404852543","English, Spanish","Twentieth Century Fox"
"tt0441881","Danger Close: The Battle of Long Tan","2019","2019-08-08","118","Australia","$ 2034844","English","Deeper Water"
"tt0443474","Crazy","2017","2017-01-19","106","USA","","English","FN Crazy Film LLC"
"tt0448115","Shazam!","2019","2019-04-05","132","USA, Canada","$ 364571656","English, Spanish","Warner Bros."
"tt0451201","Sludge","2017","2017-09-19","95","USA","","English","Xeno Films"
"tt0451279","Wonder Woman","2017","2017-06-01","141","USA, China, Hong Kong","$ 821847012","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian","Warner Bros."
"tt0456407","Fakir of Venice","2019","2019-02-08","87","India","","English, Hindi","October Films"
"tt0460890","The Only Living Boy in New York","2017","2017-08-11","89","USA","$ 2550321","English","Amazon Studios"
"tt0490215","Silence","2017","2017-01-01","161","USA, UK, Taiwan, Japan, Mexico, Italy","$ 23737523","English, Japanese, Latin","SharpSword Films"
"tt0491175","Suburbicon","2017","2017-11-24","105","UK, USA","$ 12751667","English","Black Bear Pictures"
"tt0491203","Tulip Fever","2018","2018-12-07","105","UK, USA","$ 8381715","English","Worldview Entertainment"
"tt0493405","CHIPS","2017","2017-03-24","100","USA","$ 26800152","English, Spanish","Primate Pictures"
"tt0493407","Cook Off!","2017","2017-11-17","98","USA","","English",""
"tt0498381","Rings","2017","2017-02-03","102","USA","$ 83080890","English","Macari/Edelstein"
"tt0499469","Emilio","2017","2017-02-17","102","USA","","English, Spanish","Emilio Productions"
"tt0765465","The Legend of Secret Pass","2019","2019-01-15","92","USA","","English","JC2 Animated Entertainment"
"tt0800325","The Dirt","2019","2019-03-22","107","USA","","English","10th Street Entertainment"
"tt0835802","Krystal","2018","2018-04-13","90","USA","$ 37516","English","Dorian Media"
"tt0837563","Pet Sematary","2019","2019-04-04","101","USA, Canada","$ 112399944","English","Paramount Pictures"
"tt0858419","Bolden","2019","2019-05-03","108","USA","","English","King Bolden"
"tt0859635","Super Troopers 2","2018","2018-06-15","99","USA","$ 31626386","English","Votiv Films"
"tt0862930","Dukun","2018","2018-04-05","108","Malaysia","","Hokkien, Malay","Astro Shaw"
"tt0915458","Fast Girl","2017","2017-01-01","95","USA","","English","Matador Motion Pictures"
"tt0926132","Road to Red","2018","2018-01-01","120","USA, Portugal","","English","Worldwide Artists"
"tt0972544","Back Roads","2018","2018-12-07","101","USA","","English","Upturn Productions"
"tt0974015","Justice League","2017","2017-11-17","120","USA, Canada, UK","$ 657924295","English, Irish, Russian, Icelandic","Warner Bros."
"tt10002654","Pattabhiraman","2019","2019-08-23","139","India","$ 11760","Malayalam","Abaam Movies"
"tt10006270","Jagtsæson","2019","2019-10-03","92","Denmark","","Danish","Nordisk Film Production"
"tt10008784","Bull","2019","2019-11-11","105","USA","","English","Bert Marcus Productions"
"tt10009434","Family Obligations","2019","2019-06-06","81","USA","","English","In the Garage Productions"
"tt10012964","IRIS: A Space Opera by Justice","2019","2019-08-30","63","France","$ 29080","English","Because"
"tt10016532","Ispade Rajavum Idhaya Raniyum","2019","2019-03-14","141","India","$ 9272","Tamil","Madhav Media"
"tt10017956","Gone Kesh","2019","2019-03-29","110","India","","Hindi","DNG Films"
"tt10022384","The Protector","2019","2019-02-28","126","USA, UK","","English","Passionflix"
"tt10023080","Nedunalvaadai","2019","2019-03-15","120","India","","Tamil","B-Star Productions"
"tt10034272","Mukherjee Dar Bou","2019","2019-03-08","127","India","","Bengali","Windows Production House"
"tt10039344","Countdown","2019","2019-10-25","90","USA","$ 28890249","English","Boies / Schiller Film Group"
"tt10039468","My Stupid Boss 2","2019","2019-03-28","96","Indonesia","","Indonesian, Malay, English, Vietnamese","Falcon Pictures"
"tt10045434","Kapi","2019","2019-04-12","110","Turkey","$ 90212","Turkish","Durak Film"
"tt10046236","Alem-i Cin 2","2019","2019-05-03","93","Turkey","","Turkish","Film Fabrikasi"
"tt10048556","Staged Killer","2019","2019-06-25","88","USA","","English","Rented Mule Films"
"tt10055770","Vellaipookal","2019","2019-04-19","122","USA","$ 2349","English, Tamil","Indus Creations"
"tt10076106","Manmadhudu 2","2019","2019-08-09","155","India","$ 70936","Telugu","Anandi Art Creations"
"tt10076722","We Are Legends","2019","2019-03-19","108","Hong Kong","$ 56560","Cantonese",""
"tt10077998","Le Miracle du Saint Inconnu","2019","2019-05-15","100","Morocco, France, Qatar","","Arabic","Altamar Films"
"tt10080924","Sweater","2019","2019-03-29","118","India","","Bengali","PSS Entertainment"
"tt10084190","Chandigarh amritsar chandigarh","2019","2019-05-24","107","India","$ 118655","Punjabi","Leostride Entertainment"
"tt10091696","Dybbuk Box: The Story of Chris Chambers","2019","2019-05-15","60","USA","","English","Mazz Appeal Films"
"tt10097364","Song wo shang qing yun","2019","2019-08-16","99","China","$ 4132253","Mandarin","Bad Rabbit Pictures"
"tt10102350","2 Gisht Mjaltë","2019","2019-03-28","101","Albania","","Albanian",""
"tt10115562","Chambre 212","2019","2019-10-09","86","France, Belgium, Luxembourg","$ 2798530","French","Les Films Pelléas"
"tt10121762","Uriyadi 2","2019","2019-04-05","119","India","$ 17027","Tamil","2D Entertainment"
"tt10122038","Chambal","2019","2019-02-22","112","India","","Kannada","Zee Tv"
"tt10122392","Incitement","2019","2019-09-26","123","Israel","","Hebrew","Metro Communications"
"tt10125662","Chhalawa","2019","2019-06-05","117","Pakistan","$ 35080","Urdu, Punjabi","Showcase Films"
"tt10133300","Rakshasudu","2019","2019-08-02","122","India","$ 4602","Telugu","A Studios"
"tt10140922","Odessa","2019","2019-09-05","130","Russia","$ 2697027","Russian, Yiddish","Marmot-film"
"tt10143498","Mon chien Stupide","2019","2019-10-30","106","France, Belgium","$ 2953506","French","Same Player"
"tt10145122","Das perfekte Geheimnis","2019","2019-10-31","111","Germany","$ 19301303","German","Constantin Film"
"tt10147382","Wo he wo de zu guo","2019","2019-09-30","154","China","$ 420105485","Mandarin, Cantonese, English","Alibaba Pictures"
"tt10151260","Welad Rizk 2","2019","2019-08-08","103","Egypt","$ 1086632","Arabic, English","RAW Entertainment"
"tt10152214","Heer Maan Ja","2019","2019-08-12","146","Pakistan","","Urdu, Punjabi","Geo Films"
"tt10155342","La femme de mon frère","2019","2019-06-26","117","Canada","$ 1671969","French","Metafilms"
"tt10156112","Hello, Love, Goodbye","2019","2019-07-31","118","Philippines","$ 1089515","Chinese, Tagalog, Filipino","Star Cinema"
"tt10161238","Geol kapseu","2019","2019-05-09","107","South Korea","$ 12147170","Korean","Film Momentum"
"tt10182822","Loro","2018","2018-10-18","151","Italy","$ 35613","Italian",""
"tt10183616","Yves","2019","2019-06-26","107","France","$ 375950","French","Ecce Films"
"tt10187686","Thamaasha","2019","2019-06-05","120","India","$ 218812","Malayalam","Happy Hours Entertainment"
"tt10187766","Dog Town","2019","2019-06-11","72","USA","","English",""
"tt10195210","Yin he bu xi ban","2019","2019-07-18","147","China","$ 122994583","Mandarin","Tianjin Chengzi Yingxiang Media"
"tt10196142","Rahman 1400","2019","2019-03-16","111","Iran","","Persian",""
"tt10199586","Atlantique","2019","2019-10-02","104","France, Senegal, Belgium","$ 344938","Wolof, French, English","Cinekap"
